IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
45.143.234.200	12001	TRUE	NRT	亚太	日本东京	122 ms	16236 kB/s
103.150.8.160	50888	TRUE	NRT	亚太	日本东京	115 ms	15863 kB/s
193.111.30.48	26512	TRUE	NRT	亚太	日本东京	122 ms	14994 kB/s
45.153.246.204	13933	TRUE	NRT	亚太	日本东京	113 ms	14404 kB/s
45.149.156.48	50035	TRUE	NRT	亚太	日本东京	117 ms	14395 kB/s
109.107.137.137	55223	TRUE	NRT	亚太	日本东京	117 ms	13930 kB/s
103.53.81.226	31680	TRUE	NRT	亚太	日本东京	99 ms	13516 kB/s
45.159.50.139	15850	TRUE	NRT	亚太	日本东京	117 ms	13397 kB/s
45.129.9.21	37831	TRUE	NRT	亚太	日本东京	118 ms	13220 kB/s
45.149.156.48	50032	TRUE	NRT	亚太	日本东京	115 ms	13062 kB/s
141.98.196.18	47883	TRUE	NRT	亚太	日本东京	121 ms	12835 kB/s
147.78.246.86	40443	TRUE	NRT	亚太	日本东京	200 ms	12797 kB/s
185.200.64.145	58005	TRUE	NRT	亚太	日本东京	122 ms	12681 kB/s
45.153.246.204	37514	TRUE	NRT	亚太	日本东京	116 ms	12660 kB/s
167.253.156.99	25087	TRUE	NRT	亚太	日本东京	126 ms	12385 kB/s
45.129.8.10	23061	TRUE	NRT	亚太	日本东京	120 ms	12164 kB/s
141.98.197.5	12896	TRUE	NRT	亚太	日本东京	121 ms	12020 kB/s
45.66.130.58	44054	TRUE	NRT	亚太	日本东京	111 ms	11953 kB/s
45.66.130.58	57987	TRUE	NRT	亚太	日本东京	110 ms	11948 kB/s
176.119.148.212	17081	TRUE	NRT	亚太	日本东京	115 ms	11945 kB/s
45.153.246.204	48272	TRUE	NRT	亚太	日本东京	120 ms	11944 kB/s
45.66.130.58	34925	TRUE	NRT	亚太	日本东京	121 ms	11809 kB/s
103.201.131.192	16671	TRUE	NRT	亚太	日本东京	119 ms	11712 kB/s
45.153.246.204	23125	TRUE	NRT	亚太	日本东京	119 ms	11432 kB/s
185.200.66.182	23677	TRUE	NRT	亚太	日本东京	122 ms	11408 kB/s
45.153.246.204	39729	TRUE	NRT	亚太	日本东京	118 ms	11314 kB/s
45.66.218.11	49057	TRUE	NRT	亚太	日本东京	111 ms	11268 kB/s
109.107.137.137	59741	TRUE	NRT	亚太	日本东京	115 ms	11216 kB/s
185.184.223.73	50035	TRUE	NRT	亚太	日本东京	116 ms	10739 kB/s
45.153.246.204	28595	TRUE	NRT	亚太	日本东京	120 ms	10555 kB/s
45.153.246.204	51841	TRUE	NRT	亚太	日本东京	119 ms	10503 kB/s
45.8.114.60	58268	TRUE	NRT	亚太	日本东京	117 ms	10430 kB/s
185.184.223.73	50005	TRUE	NRT	亚太	日本东京	121 ms	10409 kB/s
45.66.130.58	35772	TRUE	NRT	亚太	日本东京	110 ms	10407 kB/s
45.153.246.204	34854	TRUE	NRT	亚太	日本东京	124 ms	10373 kB/s
45.66.130.58	39495	TRUE	NRT	亚太	日本东京	116 ms	10354 kB/s
