IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
45.202.240.236	39545	TRUE	LAX	北美洲	美国洛杉矶	1 ms	91885 kB/s
156.229.161.88	28001	TRUE	LAX	北美洲	美国洛杉矶	0 ms	88234 kB/s
45.202.241.12	5374	TRUE	LAX	北美洲	美国洛杉矶	1 ms	85958 kB/s
156.229.161.88	17010	TRUE	LAX	北美洲	美国洛杉矶	0 ms	81302 kB/s
45.202.241.93	9601	TRUE	LAX	北美洲	美国洛杉矶	1 ms	78755 kB/s
156.229.163.247	34302	TRUE	LAX	北美洲	美国洛杉矶	1 ms	78143 kB/s
45.202.243.127	61844	TRUE	LAX	北美洲	美国洛杉矶	2 ms	75304 kB/s
156.229.161.88	17014	TRUE	LAX	北美洲	美国洛杉矶	1 ms	73890 kB/s
45.202.240.35	15495	TRUE	LAX	北美洲	美国洛杉矶	1 ms	73257 kB/s
45.202.242.134	42546	TRUE	LAX	北美洲	美国洛杉矶	1 ms	66799 kB/s
156.229.160.27	443	TRUE	LAX	北美洲	美国洛杉矶	1 ms	66647 kB/s
156.229.160.75	16281	TRUE	LAX	北美洲	美国洛杉矶	3 ms	56581 kB/s
166.0.188.240	48527	TRUE	LAX	北美洲	美国洛杉矶	0 ms	55756 kB/s
156.229.165.175	8443	TRUE	LAX	北美洲	美国洛杉矶	1 ms	54893 kB/s
166.0.188.240	11317	TRUE	LAX	北美洲	美国洛杉矶	0 ms	54545 kB/s
156.229.164.55	19020	TRUE	LAX	北美洲	美国洛杉矶	0 ms	53674 kB/s
156.229.160.75	44783	TRUE	LAX	北美洲	美国洛杉矶	0 ms	52497 kB/s
166.0.188.122	39260	TRUE	LAX	北美洲	美国洛杉矶	1 ms	52402 kB/s
156.229.163.237	10238	TRUE	LAX	北美洲	美国洛杉矶	4 ms	38327 kB/s
156.229.164.100	8080	TRUE	LAX	北美洲	美国洛杉矶	0 ms	35068 kB/s
156.229.160.32	8080	TRUE	LAX	北美洲	美国洛杉矶	1 ms	32645 kB/s
141.11.130.25	443	TRUE	NRT	亚太	日本东京	98 ms	24827 kB/s
45.192.248.158	42808	TRUE	NRT	亚太	日本东京	98 ms	19586 kB/s
45.192.248.159	35700	TRUE	NRT	亚太	日本东京	99 ms	19570 kB/s
181.214.136.42	44232	TRUE	NRT	亚太	日本东京	102 ms	19079 kB/s
103.232.213.136	10088	TRUE	NRT	亚太	日本东京	103 ms	18934 kB/s
156.246.95.241	11991	TRUE	NRT	亚太	日本东京	98 ms	18655 kB/s
38.207.130.30	54332	TRUE	NRT	亚太	日本东京	99 ms	18305 kB/s
156.246.90.118	32031	TRUE	NRT	亚太	日本东京	103 ms	17902 kB/s
141.11.131.181	33503	TRUE	NRT	亚太	日本东京	98 ms	17658 kB/s
83.147.12.104	9670	TRUE	TPE	亚太	台北	132 ms	17651 kB/s
141.11.131.126	33503	TRUE	NRT	亚太	日本东京	98 ms	16927 kB/s
